,province,provinceid,安装角度,峰值日照时数,每瓦首年发电,年有效利用小时
0,安徽,1,25.125,3.914375,1.128875,1128.70875
1,北京,2,35,4.21,1.214,1213.95
2,福建,3,17.66666667,3.826666667,1.103888889,1103.418889
3,甘肃,4,36.14285714,5.024285714,1.448571429,1448.753571
4,广东,5,17.61904762,3.733333333,1.077190476,1076.507143
5,广西,6,15,3.613571429,1.042357143,1041.972857
6,贵州,7,17,3.305714286,0.953714286,953.2042857
7,海南,8,13.16666667,4.622222222,1.331888889,1332.817778
8,河北,9,37.09090909,4.918181818,1.418454545,1418.158182
9,河南,10,30.33333333,4.403888889,1.269888889,1269.863889
10,黑龙江,12,42.92307692,4.556923077,1.316923077,1313.989231
11,湖北,13,20.88235294,3.464705882,0.999823529,999.0476471
12,湖南,14,17.28571429,3.270714286,0.943785714,943.1107143
13,吉林,15,39.55555556,4.575555556,1.32,1319.362222
14,江西,16,16.90909091,3.579090909,1.032727273,1032.031818
15,江苏,17,23.69230769,3.84,1.107461538,1107.264615
16,辽宁,18,36,4.472857143,1.290785714,1289.747857
17,内蒙古,20,41.08333333,5.33,1.531916667,1537.405
18,宁夏,21,36.8,5.21,1.5022,1502.306
19,青海,22,36.44444444,5.32,1.533777778,1534.024444
20,四川,23,17.42857143,3.153809524,0.910047619,909.4019048
21,陕西,24,30,4.239,1.2222,1222.317
22,山东,25,33.88235294,4.711764706,1.368235294,1358.638235
23,上海,26,25,4.09,1.179,1179.35
24,山西,27,31.81818182,4.580909091,1.321454545,1320.905455
25,天津,28,35,4.57,1.318,1317.76
26,新疆,30,38.83333333,4.999444444,1.441944444,1441.59
27,西藏,31,31.57142857,6.011428571,110.0471429,1733.097143
28,云南,32,24.8125,4.595625,1.325875,1325.148125
29,浙江,33,20.09090909,3.675454545,1.060727273,1059.818182
30,重庆,34,8,2.38,0.686,686.27
31,香港,11,17.61904762,3.733333333,1.077190476,1076.507143
32,澳门,19,17.61904762,3.733333333,1.077190476,1076.507143
33,台湾,29,17.61904762,3.733333333,1.077190476,1076.507143
